lakeid,year4,sampledate,taxon,species_code,density,avg_length,comments
"ME",1976,1976-06-10,"DAPHNIA JUVENILE",51100,38000.000,0.490,
"ME",1976,1976-06-10,"CONOCHILOIDES NATANS",60802,6000.000,0.250,
"ME",1976,1976-06-10,"KERATELLA QUADRATA",61806,11000.000,0.140,
"ME",1976,1976-07-07,"AGLAODIAPTOMUS CLAVIPES",30901,22000.000,1.790,
"ME",1976,1976-07-07,"LEPTODIAPTOMUS SICILOIDES",30404,65000.000,1.270,
"ME",1976,1976-07-07,"SKISTODIAPTOMUS OREGONENSIS",30801,11000.000,1.260,
"ME",1976,1976-07-07,"CALANOIDA COPEPODITES",30000,49000.000,0.690,
"ME",1976,1976-07-07,"ACANTHOCYCLOPS VERNALIS",20101,27000.000,1.400,
"ME",1976,1976-07-07,"DIACYCLOPS THOMASI",20302,59000.000,0.890,
"ME",1976,1976-07-07,"MESOCYCLOPS EDAX",20601,76000.000,0.890,
"ME",1976,1976-07-07,"CYCLOPOIDA COPEPODITES",20000,27000.000,0.670,
"ME",1976,1976-07-07,"COPEPOD NAUPLII",10000,32000.000,0.290,
"ME",1976,1976-07-07,"CHYDORUS SPHAERICUS",51005,11000.000,0.320,
"ME",1976,1976-07-07,"DAPHNIA MENDOTAE JUVENILE",51103,11000.000,0.920,
"ME",1976,1976-07-07,"DAPHNIA PULICARIA",51130,32000.000,2.070,
"ME",1976,1976-07-07,"DAPHNIA PULICARIA JUVENILE",51130,30000.000,0.850,
"ME",1976,1976-07-21,"AGLAODIAPTOMUS CLAVIPES",30901,40000.000,1.880,
"ME",1976,1976-07-21,"LEPTODIAPTOMUS SICILIS",30403,33000.000,1.320,
"ME",1976,1976-07-21,"LEPTODIAPTOMUS SICILOIDES",30404,71000.000,1.260,
"ME",1976,1976-07-21,"CALANOIDA COPEPODITES",30000,82000.000,0.660,
"ME",1976,1976-07-21,"ACANTHOCYCLOPS VERNALIS",20101,196000.000,1.390,
"ME",1976,1976-07-21,"DIACYCLOPS THOMASI",20302,98000.000,0.810,
"ME",1976,1976-07-21,"MESOCYCLOPS EDAX",20601,16000.000,0.790,
"ME",1976,1976-07-21,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,136000.000,0.640,
"ME",1976,1976-07-21,"CYCLOPOIDA COPEPODITES",20000,38000.000,0.600,
"ME",1976,1976-07-21,"COPEPOD NAUPLII",10000,98000.000,0.300,
"ME",1976,1976-07-21,"CHYDORUS SPHAERICUS",51005,5000.000,0.310,
"ME",1976,1976-07-21,"DAPHNIA MENDOTAE",51103,2000.000,1.940,
"ME",1976,1976-07-21,"DAPHNIA MENDOTAE JUVENILE",51103,23000.000,0.890,
"ME",1976,1976-07-21,"DAPHNIA PULICARIA",51130,16000.000,2.210,
"ME",1976,1976-07-21,"DAPHNIA PULICARIA JUVENILE",51130,6000.000,0.930,
"ME",1976,1976-07-21,"DAPHNIA RETROCURVA JUVENILE",51107,2000.000,0.740,
"ME",1976,1976-07-21,"DIAPHANOSOMA BIRGEI",51202,2000.000,0.930,
"ME",1976,1976-07-21,"CONOCHILUS UNICORNIS",60902,109000.000,0.190,
"ME",1976,1976-08-03,"AGLAODIAPTOMUS CLAVIPES",30901,22000.000,1.420,
"ME",1976,1976-08-03,"LEPTODIAPTOMUS SICILIS",30403,44000.000,1.040,
"ME",1976,1976-08-03,"LEPTODIAPTOMUS SICILOIDES",30404,77000.000,1.230,
"ME",1976,1976-08-03,"CALANOIDA COPEPODITES",30000,143000.000,0.660,
"ME",1976,1976-08-03,"ACANTHOCYCLOPS VERNALIS",20101,88000.000,1.200,
"ME",1976,1976-08-03,"DIACYCLOPS THOMASI",20302,27000.000,1.140,
"ME",1976,1976-08-03,"MESOCYCLOPS EDAX",20601,49000.000,1.000,
"ME",1976,1976-08-03,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,66000.000,0.660,
"ME",1976,1976-08-03,"CYCLOPOIDA COPEPODITES",20000,22000.000,0.600,
"ME",1976,1976-08-03,"COPEPOD NAUPLII",10000,88000.000,0.260,
"ME",1976,1976-08-03,"DAPHNIA MENDOTAE",51103,2000.000,1.720,
"ME",1976,1976-08-03,"DAPHNIA MENDOTAE JUVENILE",51103,18000.000,0.840,
"ME",1976,1976-08-03,"DAPHNIA PULICARIA",51130,13000.000,1.910,
"ME",1976,1976-08-03,"DAPHNIA PULICARIA JUVENILE",51130,13000.000,1.160,
"ME",1976,1976-08-03,"DAPHNIA RETROCURVA JUVENILE",51107,4000.000,0.820,
"ME",1976,1976-08-03,"DIAPHANOSOMA BIRGEI",51202,2000.000,0.960,
"ME",1976,1976-08-03,"DIAPHANOSOMA BIRGEI JUVENILE",51202,7000.000,0.660,
"ME",1976,1976-08-03,"CONOCHILOIDES NATANS",60802,11000.000,0.130,
"ME",1976,1976-08-03,"CONOCHILUS UNICORNIS",60902,13211000.000,0.190,
"ME",1976,1976-08-03,"POLYARTHRA",63000,5000.000,0.300,
"ME",1976,1976-08-17,"AGLAODIAPTOMUS CLAVIPES",30901,8000.000,1.650,
"ME",1976,1976-08-17,"LEPTODIAPTOMUS SICILOIDES",30404,79000.000,1.140,
"ME",1976,1976-08-17,"CALANOIDA COPEPODITES",30000,183000.000,0.750,
"ME",1976,1976-08-17,"ACANTHOCYCLOPS VERNALIS",20101,234000.000,1.170,
"ME",1976,1976-08-17,"EUCYCLOPS ELEGANS",20403,20000.000,1.140,
"ME",1976,1976-08-17,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,4000.000,0.570,
"ME",1976,1976-08-17,"COPEPOD NAUPLII",10000,52000.000,0.290,
"ME",1976,1976-08-17,"CHYDORUS SPHAERICUS",51005,4000.000,0.230,
"ME",1976,1976-08-17,"DAPHNIA MENDOTAE",51103,2000.000,2.160,
"ME",1976,1976-08-17,"DAPHNIA MENDOTAE JUVENILE",51103,11000.000,0.860,
"ME",1976,1976-08-17,"DAPHNIA PULICARIA",51130,14000.000,1.930,
"ME",1976,1976-08-17,"DAPHNIA PULICARIA JUVENILE",51130,2000.000,1.080,
"ME",1976,1976-08-17,"DIAPHANOSOMA BIRGEI",51202,22000.000,1.050,
"ME",1976,1976-08-17,"DIAPHANOSOMA BIRGEI JUVENILE",51202,29000.000,0.620,
"ME",1976,1976-08-17,"CONOCHILUS UNICORNIS",60902,250000.000,0.160,
"ME",1976,1976-09-03,"AGLAODIAPTOMUS CLAVIPES",30901,8000.000,1.580,
"ME",1976,1976-09-03,"LEPTODIAPTOMUS SICILIS",30403,4000.000,0.880,
"ME",1976,1976-09-03,"LEPTODIAPTOMUS SICILOIDES",30404,76000.000,1.110,
"ME",1976,1976-09-03,"CALANOIDA COPEPODITES",30000,109000.000,0.740,
"ME",1976,1976-09-03,"ACANTHOCYCLOPS VERNALIS",20101,80000.000,1.140,
"ME",1976,1976-09-03,"DIACYCLOPS THOMASI",20302,16000.000,0.980,
"ME",1976,1976-09-03,"MESOCYCLOPS EDAX",20601,8000.000,1.150,
"ME",1976,1976-09-03,"CYCLOPOIDA COPEPODITES",20000,40000.000,0.530,
"ME",1976,1976-09-03,"COPEPOD NAUPLII",10000,40000.000,0.240,
"ME",1976,1976-09-03,"DAPHNIA MENDOTAE",51103,7000.000,1.500,
"ME",1976,1976-09-03,"DAPHNIA MENDOTAE JUVENILE",51103,18000.000,0.870,
"ME",1976,1976-09-03,"DAPHNIA PULICARIA",51130,3000.000,2.110,
"ME",1976,1976-09-03,"DAPHNIA PULICARIA JUVENILE",51130,7000.000,0.980,
"ME",1976,1976-09-03,"DIAPHANOSOMA BIRGEI",51202,48000.000,1.080,
"ME",1976,1976-09-03,"DIAPHANOSOMA BIRGEI JUVENILE",51202,58000.000,0.590,
"ME",1976,1976-09-03,"KERATELLA COCHLEARIS",61801,4000.000,0.170,
"ME",1976,1976-09-24,"AGLAODIAPTOMUS CLAVIPES",30901,28000.000,1.500,
"ME",1976,1976-09-24,"LEPTODIAPTOMUS SICILIS",30403,4000.000,0.880,
"ME",1976,1976-09-24,"LEPTODIAPTOMUS SICILOIDES",30404,65000.000,1.080,
"ME",1976,1976-09-24,"CALANOIDA COPEPODITES",30000,178000.000,0.740,
"ME",1976,1976-09-24,"ACANTHOCYCLOPS VERNALIS",20101,142000.000,1.110,
"ME",1976,1976-09-24,"DIACYCLOPS THOMASI",20302,57000.000,0.980,
"ME",1976,1976-09-24,"MESOCYCLOPS EDAX",20601,4000.000,1.150,
"ME",1976,1976-09-24,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,85000.000,0.670,
"ME",1976,1976-09-24,"COPEPOD NAUPLII",10000,364000.000,0.180,
"ME",1976,1976-09-24,"CHYDORUS SPHAERICUS",51005,4000.000,0.210,
"ME",1976,1976-09-24,"DAPHNIA MENDOTAE",51103,5000.000,1.860,
"ME",1976,1976-09-24,"DAPHNIA MENDOTAE JUVENILE",51103,2000.000,1.110,
"ME",1976,1976-09-24,"DAPHNIA PULICARIA",51130,9000.000,2.020,
"ME",1976,1976-09-24,"DAPHNIA PULICARIA JUVENILE",51130,5000.000,0.950,
"ME",1976,1976-09-24,"DIAPHANOSOMA BIRGEI",51202,11000.000,1.130,
"ME",1976,1976-09-24,"DIAPHANOSOMA BIRGEI JUVENILE",51202,23000.000,0.580,
"ME",1976,1976-09-24,"CONOCHILUS UNICORNIS",60902,546000.000,0.180,
"ME",1976,1976-09-24,"KERATELLA COCHLEARIS",61801,105000.000,0.180,
"ME",1976,1976-09-24,"NOTHOLCA ACUMINATA",62601,4000.000,0.070,
"ME",1976,1976-10-08,"AGLAODIAPTOMUS CLAVIPES",30901,23000.000,1.710,
"ME",1976,1976-10-08,"LEPTODIAPTOMUS SICILOIDES",30404,94000.000,1.300,
"ME",1976,1976-10-08,"CALANOIDA COPEPODITES",30000,12000.000,0.890,
"ME",1976,1976-10-08,"ACANTHOCYCLOPS VERNALIS",20101,62000.000,1.090,
"ME",1976,1976-10-08,"DIACYCLOPS THOMASI",20302,55000.000,1.090,
"ME",1976,1976-10-08,"MESOCYCLOPS EDAX",20601,12000.000,1.360,
"ME",1976,1976-10-08,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,98000.000,0.650,
"ME",1976,1976-10-08,"CYCLOPOIDA COPEPODITES",20000,20000.000,0.530,
"ME",1976,1976-10-08,"COPEPOD NAUPLII",10000,312000.000,0.270,
"ME",1976,1976-10-08,"CHYDORUS SPHAERICUS",51005,20000.000,0.290,
"ME",1976,1976-10-08,"DAPHNIA MENDOTAE",51103,17000.000,1.620,
"ME",1976,1976-10-08,"DAPHNIA MENDOTAE JUVENILE",51103,28000.000,0.760,
"ME",1976,1976-10-08,"DAPHNIA PULICARIA",51130,8000.000,1.900,
"ME",1976,1976-10-08,"DAPHNIA PULICARIA JUVENILE",51130,6000.000,0.790,
"ME",1976,1976-10-08,"DIAPHANOSOMA BIRGEI",51202,20000.000,1.210,
"ME",1976,1976-10-08,"DIAPHANOSOMA BIRGEI JUVENILE",51202,16000.000,0.720,
"ME",1976,1976-10-08,"CONOCHILUS UNICORNIS",60902,293000.000,0.160,
"ME",1976,1976-10-08,"KERATELLA COCHLEARIS",61801,320000.000,0.160,
"ME",1976,1976-10-08,"SYNCHAETA",63400,4000.000,0.220,
"ME",1976,1976-11-18,"AGLAODIAPTOMUS CLAVIPES",30901,28000.000,2.050,
"ME",1976,1976-11-18,"LEPTODIAPTOMUS SICILOIDES",30404,312000.000,1.220,
"ME",1976,1976-11-18,"ACANTHOCYCLOPS VERNALIS",20101,24000.000,1.070,
"ME",1976,1976-11-18,"DIACYCLOPS THOMASI",20302,150000.000,1.160,
"ME",1976,1976-11-18,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,24000.000,0.830,
"ME",1976,1976-11-18,"COPEPOD NAUPLII",10000,368000.000,0.160,
"ME",1976,1976-11-18,"CHYDORUS SPHAERICUS",51005,8000.000,0.270,
"ME",1976,1976-11-18,"DAPHNIA MENDOTAE",51103,35000.000,1.720,
"ME",1976,1976-11-18,"DAPHNIA MENDOTAE JUVENILE",51103,54000.000,0.850,
"ME",1976,1976-11-18,"DAPHNIA PULICARIA",51130,19000.000,1.690,
"ME",1976,1976-11-18,"DAPHNIA PULICARIA JUVENILE",51130,28000.000,0.980,
"ME",1976,1976-11-18,"DIAPHANOSOMA BIRGEI",51202,5000.000,1.290,
"ME",1976,1976-11-18,"DIAPHANOSOMA BIRGEI JUVENILE",51202,2000.000,0.760,
"ME",1976,1976-11-18,"CONOCHILUS UNICORNIS",60902,8000.000,0.160,
"ME",1976,1976-11-18,"KERATELLA COCHLEARIS",61801,652000.000,0.170,
"ME",1976,1976-12-22,"AGLAODIAPTOMUS CLAVIPES",30901,32000.000,1.820,
"ME",1976,1976-12-22,"LEPTODIAPTOMUS SICILOIDES",30404,222000.000,1.220,
"ME",1976,1976-12-22,"ACANTHOCYCLOPS VERNALIS",20101,24000.000,1.220,
"ME",1976,1976-12-22,"DIACYCLOPS THOMASI",20302,210000.000,1.330,
"ME",1976,1976-12-22,"CHYDORUS SPHAERICUS",51005,16000.000,0.320,
"ME",1976,1976-12-22,"DAPHNIA MENDOTAE",51103,55000.000,1.680,
"ME",1976,1976-12-22,"DAPHNIA MENDOTAE JUVENILE",51103,79000.000,0.850,
"ME",1976,1976-12-22,"DAPHNIA PULICARIA",51130,16000.000,2.080,
"ME",1976,1976-12-22,"DAPHNIA PULICARIA JUVENILE",51130,16000.000,0.910,
"ME",1976,1976-12-22,"ANURAEOPSIS",60100,4000.000,0.090,
"ME",1976,1976-12-22,"FILINIA",61400,20000.000,0.160,
"ME",1976,1976-12-22,"KERATELLA COCHLEARIS",61801,16000.000,0.170,
"ME",1977,1977-02-03,"AGLAODIAPTOMUS CLAVIPES",30901,12000.000,1.340,
"ME",1977,1977-02-03,"LEPTODIAPTOMUS SICILIS",30403,12000.000,1.100,
"ME",1977,1977-02-03,"LEPTODIAPTOMUS SICILOIDES",30404,67000.000,0.980,
"ME",1977,1977-02-03,"SKISTODIAPTOMUS OREGONENSIS",30801,6000.000,1.150,
"ME",1977,1977-02-03,"DIACYCLOPS THOMASI",20302,182000.000,1.050,
"ME",1977,1977-02-03,"DAPHNIA MENDOTAE",51103,54000.000,1.430,
"ME",1977,1977-02-03,"DAPHNIA MENDOTAE JUVENILE",51103,35000.000,0.920,
"ME",1977,1977-02-03,"DAPHNIA PULICARIA",51130,17000.000,1.590,
"ME",1977,1977-02-03,"DAPHNIA PULICARIA JUVENILE",51130,47000.000,1.070,
"ME",1977,1977-02-03,"KELLICOTTIA LONGISPINA",61702,12000.000,0.130,
"ME",1977,1977-02-03,"KERATELLA COCHLEARIS",61801,6000.000,0.120,
"ME",1977,1977-03-07,"AGLAODIAPTOMUS CLAVIPES",30901,13000.000,1.700,
"ME",1977,1977-03-07,"LEPTODIAPTOMUS SICILOIDES",30404,40000.000,1.020,
"ME",1977,1977-03-07,"DIACYCLOPS THOMASI",20302,87000.000,0.950,
"ME",1977,1977-03-07,"COPEPOD NAUPLII",10000,7000.000,0.120,
"ME",1977,1977-03-07,"DAPHNIA MENDOTAE",51103,12000.000,1.510,
"ME",1977,1977-03-07,"DAPHNIA MENDOTAE JUVENILE",51103,4000.000,1.160,
"ME",1977,1977-03-07,"DAPHNIA PULICARIA",51130,2000.000,2.360,
"ME",1977,1977-04-08,"LEPTODIAPTOMUS SICILIS",30403,7000.000,0.950,
"ME",1977,1977-04-08,"LEPTODIAPTOMUS SICILOIDES",30404,49000.000,1.010,
"ME",1977,1977-04-08,"SKISTODIAPTOMUS OREGONENSIS",30801,7000.000,1.300,
"ME",1977,1977-04-08,"DIACYCLOPS THOMASI",20302,119000.000,1.040,
"ME",1977,1977-04-08,"COPEPOD NAUPLII",10000,1627000.000,0.170,
"ME",1977,1977-04-08,"BOSMINA LONGIROSTRIS",50701,7000.000,0.280,
"ME",1977,1977-04-08,"DAPHNIA MENDOTAE",51103,11000.000,1.560,
"ME",1977,1977-04-08,"DAPHNIA MENDOTAE JUVENILE",51103,11000.000,0.730,
"ME",1977,1977-04-08,"DAPHNIA PULICARIA",51130,16000.000,1.920,
"ME",1977,1977-04-08,"BRACHIONUS",60400,70000.000,0.110,
"ME",1977,1977-04-08,"KERATELLA COCHLEARIS",61801,14000.000,0.100,
"ME",1977,1977-04-08,"POLYARTHRA",63000,14000.000,0.130,
"ME",1977,1977-05-16,"AGLAODIAPTOMUS CLAVIPES",30901,5000.000,1.600,
"ME",1977,1977-05-16,"LEPTODIAPTOMUS SICILOIDES",30404,20000.000,0.960,
"ME",1977,1977-05-16,"CALANOIDA COPEPODITES",30000,153000.000,0.530,
"ME",1977,1977-05-16,"DIACYCLOPS THOMASI",20302,406000.000,0.840,
"ME",1977,1977-05-16,"MESOCYCLOPS EDAX",20601,5000.000,1.000,
"ME",1977,1977-05-16,"CYCLOPOIDA COPEPODITES",20000,114000.000,0.460,
"ME",1977,1977-05-16,"COPEPOD NAUPLII",10000,2395000.000,0.150,
"ME",1977,1977-05-16,"DAPHNIA MENDOTAE",51103,10000.000,1.350,
"ME",1977,1977-05-16,"DAPHNIA MENDOTAE JUVENILE",51103,18000.000,0.960,
"ME",1977,1977-05-16,"DAPHNIA PULICARIA",51130,120000.000,1.660,
"ME",1977,1977-05-16,"DAPHNIA PULICARIA JUVENILE",51130,237000.000,1.020,
"ME",1977,1977-05-16,"KERATELLA COCHLEARIS",61801,5000.000,0.110,
"ME",1977,1977-05-16,"KERATELLA QUADRATA",61806,5000.000,0.160,
"ME",1977,1977-06-04,"AGLAODIAPTOMUS CLAVIPES",30901,11000.000,1.630,
"ME",1977,1977-06-04,"LEPTODIAPTOMUS SICILOIDES",30404,157000.000,1.010,
"ME",1977,1977-06-04,"SKISTODIAPTOMUS OREGONENSIS",30801,5000.000,1.050,
"ME",1977,1977-06-04,"CALANOIDA COPEPODITES",30000,228000.000,0.610,
"ME",1977,1977-06-04,"ACANTHOCYCLOPS VERNALIS",20101,5000.000,0.830,
"ME",1977,1977-06-04,"DIACYCLOPS THOMASI",20302,38000.000,0.810,
"ME",1977,1977-06-04,"MESOCYCLOPS EDAX",20601,16000.000,0.880,
"ME",1977,1977-06-04,"CYCLOPOIDA COPEPODITES",20000,16000.000,0.380,
"ME",1977,1977-06-04,"COPEPOD NAUPLII",10000,1204000.000,0.130,
"ME",1977,1977-06-04,"BOSMINA LONGIROSTRIS",50701,5000.000,0.400,
"ME",1977,1977-06-04,"CHYDORUS SPHAERICUS",51005,5000.000,0.400,
"ME",1977,1977-06-04,"DAPHNIA MENDOTAE",51103,5000.000,1.730,
"ME",1977,1977-06-04,"DAPHNIA PULICARIA",51130,48000.000,1.650,
"ME",1977,1977-06-04,"DAPHNIA PULICARIA JUVENILE",51130,80000.000,1.010,
"ME",1977,1977-06-04,"DAPHNIA JUVENILE",51100,5000.000,0.530,
"ME",1977,1977-06-04,"CONOCHILUS UNICORNIS",60902,27000.000,0.140,
"ME",1977,1977-06-04,"KERATELLA COCHLEARIS",61801,60000.000,0.120,
"ME",1977,1977-06-04,"KERATELLA QUADRATA",61806,5000.000,0.230,
"ME",1977,1977-07-28,"AGLAODIAPTOMUS CLAVIPES",30901,19000.000,1.800,
"ME",1977,1977-07-28,"LEPTODIAPTOMUS SICILOIDES",30404,185000.000,1.030,
"ME",1977,1977-07-28,"SKISTODIAPTOMUS OREGONENSIS",30801,9000.000,1.050,
"ME",1977,1977-07-28,"CALANOIDA COPEPODITES",30000,195000.000,0.820,
"ME",1977,1977-07-28,"ACANTHOCYCLOPS VERNALIS",20101,88000.000,0.960,
